,Problem Code,Status,Submit Count,Reading Time(m),Thinking Time(m),Coding Time(m),Debug Time(m),Total Time(m),Problem Level /10,By yourself?,Category,"1-2 line Comments
About your approach"
,AC Averages =>,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,,,,Watch - Thinking - Problem Simplification 
,,,,,,,,0,,,,Watch - Thinking - Brainstorm - Rank - Approach 
,,,,,,,,0,,,,Study STL
,,,,,,,,0,,,,Watch - Combinatorics - Permutations and Combinations - 1
,,,,,,,,0,,,,Watch - Combinatorics - Permutations and Combinations - 2
Petya and Countryside,CF66-D2-B,1,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
Bear and Finding Criminals,CF680-D2-B,,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
Burglar and Matches,CF16-D2-B,,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
Caisa and Pylons,CF463-D2-B,,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
Sum of Digits,CF102-D2-B,1,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
Coins,CF47-D2-B,1,,,,,,0,,,,Video Solution - Eng Samed Hajajla
Effective Approach,CF227-D2-B,,,,,,,0,,,,Video Solution - Eng Abanob Ashraf
Easter Eggs,CF78-D2-B,1,,,,,,0,,,,Video Solution - Eng Abanob Ashraf
Decoding,CF746-D2-B,1,,,,,,0,,,,Video Solution - Solver to be (Java)
,,,,,,,,0,,,,Watch - Training-Secrets of Success
,,,,,,,,0,,,,Revise Stack/Queue datastructure concepts. Learn using STL
,,,,,,,,0,,,,"Watch - Number Theory - Fib, GCD, LCM, Pow"
Big Mod,UVA 374,,,,,,,0,,,,
Combinations,UVA 369,,,,,,,0,,,,
Pi,UVA 412,,,,,,,0,,,,Video Solution - Eng Mohamed Adel
Adding Reversed Numbers,UVA 713,,,,,,,0,,,,Don't use big integer class. Write simple array computations
Taxi,TIMUS 1607,,,,,,,0,,,,Can you get AC first submission?
The Drunk Jailer,LIVEARCHIVE 2557,,,,,,,0,,,,Find a formula
Vanya and Lanterns,CF492-D2-B,,,,,,,0,,,,Video Solution - Solver to be (Java)
,,,,,,,,0,,,,Watch - Prefix Sum
Kuriyama Mirai's Stones,CF433-D2-B,,,,,,,0,,,,
Fence,CF363-D2-B,,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
President's Office,CF6-D2-B,,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
Lovely Palindromes,CF688-D2-B,0,,,,,,0,,,,Video Solution - Solver to be (Java)
Sort the Array,CF451-D2-B,,,,,,,0,,,,Video Solution - Solver to be (Java)
Summer sell-off,CF810-D2-B,,,,,,,0,,,,Video Solution - Solver to be (Java)
Colorful Field,CF79-D12-B,,,,,,,0,,,,Video Solution - Solver to be (Java)
Keyboard,CF88-D2-B,,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
Mahmoud and a Triangle,CF766-D2-B,,,,,,,0,,,,Video Solution - Solver to be (Java)
,,,,,,,,0,,,,
,,,,,,,,0,,,,Watch - Graph Theory - BFS
Tic-Tac-Toe ( I ),SPOJ TOE1,,,,,,,0,,,,Video Solution - Eng Ayman Salah
Tic-Tac-Toe ( II ),SPOJ TOE2,,,,,,,0,,,,Video Solution - Eng Essam AlNaggar
Knight Moves,UVA 439,,,,,,,0,,,,Video Solution - Eng Magdy Hasan
King's Path,CF242-D2-C,,,,,,,0,,,,Video Solution - Dr Mostafa Saad
Bookworm,TIMUS 1638,,,,,,,0,,,,Can you get AC first submission
,UVA 10461,,,,,,,0,,,,Video Solution - Eng Moaz Rashad
,SPOJ POSTERIN,,,,,,,0,,,,Sol
,,,,,,,,0,,,,
Students and Shoelaces,CF129-D2-B,,,,,,,0,,,,Video Solution - Eng Abanob Ashraf
Dreamoon and WiFi,CF476-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Adel
Chat Online,CF469-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Adel
Olympic Medal,CF215-D2-B,,,,,,,0,,,,Video Solution - Eng Ahmed Salah
Filya and Homework,CF714-D2-B,,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
Inna and New Matrix of Candies,CF400-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Salah
Steps,CF152-D2-B,,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
Growing Mushrooms,CF186-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Salah
Escape,CF148-D2-B,,,,,,,0,,,,Video Solution - Eng Ahmed Salah
,,,,,,,,,,,,Review - Recursion + Solve excersies
,,,,,,,,0,,,,Review - Recursion - Don't feel bad for missing half of it
,,,,,,,,,,,,
,,,,,,,,0,,,,Watch - Intro to DP - 1
,,,,,,,,0,,,,Watch - Intro to DP - 2
Vacations,CF699-D2-C,,,,,,,0,,,,
Woodcutters,CF545-D2-C,,,,,,,0,,,,
Barcode,CF225-D2-C,,,,,,,0,,,,Video Solution - Dr Mostafa Saad
Continents,UVA 11094,,,,,,,0,,,,Video Solution - Eng Ayman Salah
Brownie Points,UVA 10865,,,,,,,0,,,,Video Solution - Eng Magdy Hasan
Hanoi Tower,TIMUS 1054,,,,,,,0,,,,Sol
,,,,,,,,0,,,,
Roma and Changing Signs,CF262-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Salah
Bear and Strings,CF385-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Salah
I.O.U.,CF376-D2-B,,,,,,,0,,,,Video Solution - Eng Abanob Ashraf
Jeff and Periods,CF352-D2-B,,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
Meeting,CF144-D2-B,,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
Chocolate,CF617-D2-B,,,,,,,0,,,,Video Solution - Eng Yahia Ashraf
Easy Number Challenge,CF236-D2-B,,,,,,,0,,,,Video Solution - Eng Yahia Ashraf
Han Solo and Lazer Gun,CF514-D2-B,,,,,,,0,,,,Video Solution - Eng Amr Fahmy
Physics Practical,CF253-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Salah
Two Buttons,CF520-D2-B,,,,,,,0,,,,Video Solution - Solver to be (Java)
,,,,,,,,0,,,,
,,,,,,,,0,,,,Watch - Computational Geometry - Complex Number and 2D Point
,,,,,,,,0,,,,Watch - Computational Geometry - Lines and Distances
Intersecting Lines,UVA 378,,,,,,,0,,,,
The Stern-Brocot Number,UVA 10077,,,,,,,0,,,,
Mr. Kitayuta's Colorful Graph,CF505-D2-B,,,,,,,0,,,,Video Solution - Eng Muntaser Abukadeja
,,,,,,,,0,,,,
